SiO2 melt, Natom=300                                           37    1
    300  2      1000      1000      1000   21  200    1    0 1001 1001      
  O     SI  
   200   100
     1   201
   200   300
    300.00   -1.0000    300.00    .00010    .00010    .00010
  .200E-14           17.685610 15.844048 15.475032   .000000   .000000   .000000
  2.300708             .310266   .000000   .000000   .000000   .000000   .000000
 .4943653 .5406929 .7894748 5.0586675.0848935.072808   .488511  .555427  .780399
 .2884694 .6145185 .1552740 5.0664614.9868425.004701   .288864  .617694  .153796
 .0576628 .6690409 .9973490 5.0153514.8852704.990995   .049352  .674224  .991310
 .5061829 .5020546 .1676432 4.9286915.0868175.069179   .503678  .491615  .173324
 .6342826 .2659224 .5422656 4.9876294.9969074.842532   .637353  .266139  .558227
 .7232635 .7172975 .6827109 5.1264265.0681415.021686   .720175  .721859  .682469
 .4351702 .2542757 .8526261 4.8728714.9815094.882543   .445267  .249084  .850762
 .2475948 .7642534 .0783565 4.9809575.1152974.900102   .236759  .761475  .073873
 .7542005 .1469593 .0765048 4.9762235.0165754.950702   .746165  .152087  .065128
 .6239878 .5646445 .8712210 5.0721624.9678714.951329   .621403  .567854  .870112
 .2290578 .6019238 .6272792 5.1380404.9856174.976121   .224274  .615747  .617688
 .5966026 .6420425 .7194253 4.9413854.9535764.970080   .599331  .640706  .707969
 .3612417 .3913798 .3812504 5.0182565.1401995.080476   .354456  .404872  .376187
 .4836282 .1102027 .6428632 5.0055694.9827074.961944   .506740  .102291  .646406
 .6722275 .2756272 .0272811 5.0739455.0070144.996613   .678367  .293795  .024945
 .8608800 .0872384 .9922777 4.9642515.1418114.818974   .857009  .085827  .990482
 .7132870 .7232150 .8417668 4.9196924.9465984.979781   .709351  .735395  .843670
 .0383836 .1311283 .8026503 4.9436144.9503974.942809   .045770  .131281  .811596
 .1516361 .7098923 .3388920 4.9799614.9574315.175636   .154007  .713092  .324642
 .5387656 .3610402 .6229681 5.0214125.0805404.935582   .537992  .348584  .640131
 .5873757 .8061421 .6949935 5.0222884.9469204.967369   .581945  .798781  .683289
 .6410746 .7634103 .1337126 4.9572524.8458734.933445   .632772  .774944  .144989
 .3231180 .0111515 .6145895 5.0363194.9554864.930195   .316269  .016614  .609124
 .6254448 .9238680 .1793235 4.8311675.1331045.074157   .626885  .938817  .173991
 .3002730 .9867784 .8530950 4.9794874.9642444.980359   .302312  .978391  .852956
 .6137907 .4773055 .7238176 5.0215844.8965095.017775   .600876  .475876  .727147
 .4554840 .3706585 .2534072 5.0406434.9497614.907166   .454880  .362591  .257604
 .5848095 .9998203 .4559814 4.9653525.1276894.874340   .583255  .987461  .458973
 .3369432 .8527680 .7749930 5.0237015.0708685.097038   .327825  .829205  .787946
 .3873180 .9566427 .0344100 4.9984035.0920784.937074   .390303  .966335  .034911
 .8636722 .2694039 .2359049 4.9245444.9817805.076092   .861363  .277886  .238256
 .6697264 .4189605 .5646702 5.0892594.9072494.994609   .673062  .421427  .559827
 .2169965 .1176636 .5864076 4.9915044.9275564.990042   .222963  .137740  .591707
 .9113656 .7021762 .2495157 5.1552315.0297514.952987   .888628  .708209  .249651
 .4824105 .9430742 .3945424 5.0286125.0623964.972363   .473653  .932573  .402748
 .8696062 .8003471 .6061020 4.9571535.0050524.793751   .883319  .801729  .604415
 .5115521 .9845663 .9268127 5.1110514.9594635.148576   .511526  .970823  .926672
 .8603860 .9016264 .0150951 5.0039454.9529244.962005   .859340  .902609  .023747
 .1094511 .6895213 .6730881 4.9992874.9873664.978308   .098959  .697236  .658852
 .1794902 .3416190 .9854965 4.9986985.1234374.988477   .172351  .348855  .982125
 .7356338 .9995369 .0085544 4.8968764.9210935.178084   .728699 1.004587  .008237
 .5358839 .0451673 .0952420 5.1095654.9512925.068819   .524550  .049640  .107678
 .5053646 .9482010 .7048846 5.0000175.0375105.109471   .518353  .944569  .696788
 .6618774 .6097526 .1733500 5.0109214.9531195.205421   .658776  .612233  .169185
 .4638019 .6674246 .9506307 4.9402134.9712705.099596   .465831  .666433  .951969
 .6662585 .3231613 .6951205 5.1067935.1310495.022900   .669773  .334487  .701399
